sim_id,scenario_id,start_date,SPX_Return,SPX_Volatility,Card1_Active,Card2_Active,Card3_Active,Card4_Active,Card5_Active,Card6_Active,Card7_Active,Card8_Active,Card9_Active,Card10_Active,Card11_Active,Final_Return
256,lehman,2008-01-23,1.6009,1.3147,0,1,0,0,0,1,0,0,0,1,1,-3.3
257,lehman,2009-05-25,19.9587,1.1581,1,1,0,0,1,0,0,1,0,0,0,8.41
258,lehman,2007-10-01,-12.5356,1.2845,0,1,0,1,0,0,0,1,0,1,0,1.58
259,lehman,2008-03-16,0.9862,1.306,0,0,1,1,0,1,0,0,0,1,0,-3.13
260,lehman,2008-01-12,-0.8614,1.3391,0,0,0,1,0,1,1,0,1,0,0,8.0
261,lehman,2008-04-10,-5.7124,1.208,1,0,0,0,1,0,0,1,1,0,0,-1.59
262,lehman,2008-08-14,-27.7068,3.7611,0,0,1,0,0,1,0,1,0,1,0,16.24
263,lehman,2008-10-16,-23.7809,3.3114,0,0,1,1,0,0,0,0,1,1,0,13.44
264,lehman,2009-04-13,16.2228,1.4269,0,1,0,0,1,0,0,1,0,1,0,0.37
265,lehman,2008-07-02,-40.3545,3.3937,1,0,0,0,1,0,1,1,0,0,0,-26.69
266,lehman,2008-06-27,-33.4509,3.2859,0,1,0,1,0,1,0,1,0,0,0,-13.04
267,lehman,2008-12-12,3.1441,2.3811,0,1,1,1,0,0,0,0,0,1,0,-8.6
268,lehman,2007-12-24,-4.7512,1.3691,0,0,0,0,0,1,1,0,1,0,1,15.69
